MEMSIZE 3
PROCSIZE 1 5
READ 0 1
READ 1 1
READ 2 1
READ 0 1
READ 1 1
READ 2 1
READ 0 1
READ 1 1
READ 2 1
WRITE 0 1
WRITE 1 1
WRITE 2 1
READ 0 1
READ 1 1
READ 2 1
ENDPROC 1
PROCSIZE 2 5
READ 0 2
READ 1 2
READ 2 2
READ 0 2
READ 1 2
READ 2 2
READ 0 2
READ 1 2
READ 2 2
WRITE 0 2
WRITE 1 2
WRITE 2 2
READ 0 2
READ 1 2
READ 2 2
ENDPROC 2
PROCSIZE 3 3
READ 0 3
READ 1 3
READ 2 3
PROCSIZE 4 3
READ 0 4
READ 1 4
READ 2 4
ENDPROC 4
ENDPROC 3
PROCSIZE 5 5
WRITE 0 5
WRITE 1 5
READ 2 5
READ 3 5
